char,unicode,standard_rank,status,current_cnbe,current_cnbe_hex,proposed_cnbe,proposed_cnbe_hex,current_radix,proposed_radix,current_radix_name,proposed_radix_name,current_strokes,proposed_strokes,current_struct_type,proposed_struct_type,current_struct_name,proposed_struct_name,index_preserved,human_decision_id,target_dataset,source_table_write_status,database_rebuild_status
土,U+571F,27,COPIED_DATASET_PATCH_APPLIED,3294368240,0xC45C11F0,538448368,0x201811F0,196,32,鳥,土,11,3,8,0,top-wrap,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
士,U+58EB,28,COPIED_DATASET_PATCH_APPLIED,238038704,0x0E302EB0,555232944,0x21182EB0,14,33,冖,士,6,3,0,0,single,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
才,U+624D,29,COPIED_DATASET_PATCH_APPLIED,1051542736,0x3EAD44D0,1075332304,0x401844D0,62,64,戈,扌,21,3,10,0,left-wrap,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
下,U+4E0B,30,COPIED_DATASET_PATCH_APPLIED,207978672,0x0C6580B0,18350256,0x011800B0,12,1,八,一,12,3,11,0,full-wrap,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
寸,U+5BF8,31,COPIED_DATASET_PATCH_APPLIED,2573262720,0x9960DF80,689463168,0x29185F80,153,41,豸,寸,12,3,1,0,left-right,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
大,U+5927,32,COPIED_DATASET_PATCH_APPLIED,1243886192,0x4A243270,622342768,0x25183270,74,37,月,大,4,3,8,0,top-wrap,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
丈,U+4E08,33,COPIED_DATASET_PATCH_APPLIED,155975808,0x094C0080,18350208,0x01180080,9,1,人,一,9,3,8,0,top-wrap,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
与,U+4E0E,34,COPIED_DATASET_PATCH_APPLIED,259555552,0x0F7880E0,18350304,0x011800E0,15,1,冫,一,15,3,1,0,left-right,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
万,U+4E07,35,COPIED_DATASET_PATCH_APPLIED,138641520,0x08438070,18350192,0x01180070,8,1,亠,一,8,3,7,0,bottom-left-wrap,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
上,U+4E0A,36,COPIED_DATASET_PATCH_APPLIED,190644384,0x0B5D00A0,18350240,0x011800A0,11,1,入,一,11,3,10,0,left-wrap,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
小,U+5C0F,37,COPIED_DATASET_PATCH_APPLIED,2955272432,0xB025E0F0,706240752,0x2A1860F0,176,42,面,小,4,3,11,0,full-wrap,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
口,U+53E3,38,COPIED_DATASET_PATCH_APPLIED,178675248,0x0AA65E30,504913456,0x1E185E30,10,30,儿,口,20,3,12,0,triangle,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
山,U+5C71,39,COPIED_DATASET_PATCH_APPLIED,1011541776,0x3C4AE710,773351184,0x2E186710,60,46,彳,山,9,3,5,0,top-left-wrap,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
