code,main,attached,forms,form_count,stroke_group,docx_text_layer,public_baseline,wiki_template,source_status,note
53,弓,,,0,三画,,,,CONSISTENT,
54,子,,,0,三画,,,,CONSISTENT,
55,屮,,,0,三画,艸,,,CONSISTENT,
56,女,,,0,三画,,,,CONSISTENT,
57,飞,飛,飛,1,三画,飛,飛,飛,CONSISTENT,
58,马,馬,馬,1,三画,馬,馬,馬,CONSISTENT,
59,幺,,,0,三画,,,,CONSISTENT,
60,巛,,,0,三画,,,,CONSISTENT,
61,王,玉,玉,1,四画,玉,玉,𤣩玉,NEEDS_REVIEW,维基模板附形含 𤣩玉，docx 文字层与 ichara 均为 玉；𤣩 是否入表待官方页图像确认
62,无,旡,旡,1,四画,旡,旡,旡,CONSISTENT,
63,韦,韋,韋,1,四画,韋,韋,韋,CONSISTENT,
64,木,朩,朩,1,四画,朩,朩,朩,CONSISTENT,
65,支,,,0,四画,,,,CONSISTENT,
66,犬,犭,犭,1,四画,犭,犭,犭,CONSISTENT,
67,歹,歺,歺,1,四画,歺,歺,歺,CONSISTENT,
68,车,車,車,1,四画,車车,車,車,CONSISTENT,
69,牙,,,0,四画,,,,CONSISTENT,
70,戈,,,0,四画,,,,CONSISTENT,
71,比,,,0,四画,,,,CONSISTENT,
72,瓦,,,0,四画,,,,CONSISTENT,
73,止,,,0,四画,,,,CONSISTENT,
74,攴,攵,攵,1,四画,攵,攵,攵,CONSISTENT,
75,日,⺜曰,⺜/曰,2,四画,冂曰,⺜曰,曰⺜,DIFF,docx/ichara 为 ⺜曰，维基为 曰⺜，顺序待官方页图像确认
76,贝,貝,貝,1,四画,貝,貝,貝,CONSISTENT,
77,水,氵氺,氵/氺,2,四画,氵氺,氵氺,氵氺,CONSISTENT,
78,见,見,見,1,四画,見,見,見,CONSISTENT,
79,牛,牜,牜,1,四画,牜,牜,牜,CONSISTENT,
80,手,扌龵,扌/龵,2,四画,扌龵,扌看,扌龵,CORRECTED,docx 文字层与维基模板均为 扌龵；原公开转载表 扌看 为 OCR 同形误读
81,气,,,0,四画,,,,CONSISTENT,
82,毛,,,0,四画,,,,CONSISTENT,
83,长,镸長,镸/長,2,四画,镸長,镸長,镸長,CONSISTENT,
84,片,,,0,四画,,,,CONSISTENT,
85,斤,,,0,四画,,,,CONSISTENT,
86,爪,爫,爫,1,四画,爫,爫,爫,CONSISTENT,
87,父,,,0,四画,,,,CONSISTENT,
88,月,⺝,⺝,1,四画,⺝,⺝,⺝,CONSISTENT,
89,氏,,,0,四画,,,,CONSISTENT,
90,欠,,,0,四画,,,,CONSISTENT,
91,风,風,風,1,四画,風,風,風,CONSISTENT,
92,殳,,,0,四画,,,,CONSISTENT,
93,文,,,0,四画,,,,CONSISTENT,
94,方,,,0,四画,,,,CONSISTENT,
