row_id,char,unicode,human_structure,zdic_radical,zdic_total_strokes,zdic_structure,structure_relation,inventory_unihan_radical,inventory_baseline_strokes,inventory_unihan_strokes,parse_status,source_kind,zdic_url
PENC_192,𬍡,U+2C361,上下,玉,11,上下,AGREE,96,11,11,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%8D%A1
PENC_193,𬍤,U+2C364,左右,王,10,左右,AGREE,96,10,10,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%8D%A4
PENC_194,𬒈,U+2C488,上中下,,,,GAP_OR_DISAGREE,112,10,10,NETWORK_OR_PARSE_GAP,online_fetch_failed,https://www.zdic.net/hans/%F0%AC%92%88
PENC_195,𬒔,U+2C494,左右,石,13,左右,AGREE,112,13,13,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%92%94
PENC_196,𬒗,U+2C497,左右,石,14,左右,AGREE,112,14,14,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%92%97
PENC_197,𬕂,U+2C542,上下,竹,13,上下,AGREE,118,13,13,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%95%82
PENC_198,𬘓,U+2C613,左右,纟,6,左右,AGREE,120,6,6,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%98%93
PENC_199,𬘘,U+2C618,左右,纟,7,左右,AGREE,120,7,7,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%98%98
PENC_200,𬘡,U+2C621,左右,纟,9,左右,AGREE,120,9,9,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%98%A1
PENC_201,𬘩,U+2C629,左右,纟,10,左右,AGREE,120,9,9,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%98%A9
PENC_202,𬘫,U+2C62B,左右,纟,10,左右,AGREE,120,10,10,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%98%AB
PENC_203,𬘬,U+2C62C,左右,纟,11,左右,AGREE,120,11,11,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%98%AC
PENC_204,𬘭,U+2C62D,左右,纟,11,左右,AGREE,120,11,11,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%98%AD
PENC_205,𬘯,U+2C62F,左右,纟,11,左右,AGREE,120,11,11,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%98%AF
PENC_206,𬙂,U+2C642,左右,纟,14,左右,AGREE,120,14,14,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%99%82
PENC_207,𬙊,U+2C64A,左右,纟,18,左右,AGREE,120,18,17,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%99%8A
PENC_208,𬙋,U+2C64B,左右,纟,20,左右,AGREE,120,20,20,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%99%8B
PENC_209,𬜬,U+2C72C,上下,艹,9,上下,AGREE,140,9,9,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%9C%AC
PENC_210,𬜯,U+2C72F,上下,艹,10,上下,AGREE,140,10,10,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%9C%AF
PENC_211,𬞟,U+2C79F,上下,艹,16,,GAP_OR_DISAGREE,140,16,16,PARSED_WITHOUT_NORMALIZED_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%9E%9F
PENC_212,𬟁,U+2C7C1,上下,艹,18,上下,AGREE,140,18,18,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%9F%81
PENC_213,𬟽,U+2C7FD,左右,,,,GAP_OR_DISAGREE,142,11,11,NETWORK_OR_PARSE_GAP,online_fetch_failed,https://www.zdic.net/hans/%F0%AC%9F%BD
PENC_214,𬣙,U+2C8D9,左右,讠,5,左右,AGREE,149,5,5,PARSED_WITH_STRUCTURE,local_cache,https://www.zdic.net/hans/%F0%AC%A3%99
PENC_215,𬣞,U+2C8DE,左右,讠,6,左右,AGREE,149,6,6,PARSED_WITH_STRUCTURE,local_cache,https://www.zdic.net/hans/%F0%AC%A3%9E
PENC_216,𬣡,U+2C8E1,左右,讠,7,左右,AGREE,149,7,7,PARSED_WITH_STRUCTURE,local_cache,https://www.zdic.net/hans/%F0%AC%A3%A1
PENC_217,𬣳,U+2C8F3,左右,讠,8,左右,AGREE,149,8,8,PARSED_WITH_STRUCTURE,local_cache,https://www.zdic.net/hans/%F0%AC%A3%B3
PENC_218,𬤇,U+2C907,左右,讠,11,左右,AGREE,149,11,11,PARSED_WITH_STRUCTURE,local_cache,https://www.zdic.net/hans/%F0%AC%A4%87
PENC_219,𬤊,U+2C90A,左右,讠,11,左右,AGREE,149,11,11,PARSED_WITH_STRUCTURE,local_cache,https://www.zdic.net/hans/%F0%AC%A4%8A
PENC_220,𬤝,U+2C91D,左右,讠,14,左右,AGREE,149,14,14,PARSED_WITH_STRUCTURE,local_cache,https://www.zdic.net/hans/%F0%AC%A4%9D
PENC_221,𬨂,U+2CA02,左右,车,8,左右,AGREE,159,8,8,PARSED_WITH_STRUCTURE,local_cache,https://www.zdic.net/hans/%F0%AC%A8%82
PENC_222,𬨎,U+2CA0E,左右,车,13,左右,AGREE,159,13,13,PARSED_WITH_STRUCTURE,local_cache,https://www.zdic.net/hans/%F0%AC%A8%8E
PENC_223,𬩽,U+2CA7D,左右,阝,8,左右,AGREE,163,8,9,PARSED_WITH_STRUCTURE,local_cache,https://www.zdic.net/hans/%F0%AC%A9%BD
PENC_224,𬪩,U+2CAA9,左右,酉,13,左右,AGREE,164,13,13,PARSED_WITH_STRUCTURE,local_cache,https://www.zdic.net/hans/%F0%AC%AA%A9
PENC_225,𬬩,U+2CB29,左右,钅,8,左右,AGREE,167,8,8,PARSED_WITH_STRUCTURE,local_cache,https://www.zdic.net/hans/%F0%AC%AC%A9
PENC_226,𬬭,U+2CB2D,左右,钅,9,,GAP_OR_DISAGREE,167,9,9,PARSED_WITHOUT_NORMALIZED_STRUCTURE,local_cache,https://www.zdic.net/hans/%F0%AC%AC%AD
PENC_227,𬬮,U+2CB2E,左右,钅,9,,GAP_OR_DISAGREE,167,9,9,PARSED_WITHOUT_NORMALIZED_STRUCTURE,local_cache,https://www.zdic.net/hans/%F0%AC%AC%AE
PENC_228,𬬱,U+2CB31,左右,钅,9,左右,AGREE,167,9,9,PARSED_WITH_STRUCTURE,local_cache,https://www.zdic.net/hans/%F0%AC%AC%B1
PENC_229,𬬸,U+2CB38,左右,钅,10,,GAP_OR_DISAGREE,167,10,10,PARSED_WITHOUT_NORMALIZED_STRUCTURE,local_cache,https://www.zdic.net/hans/%F0%AC%AC%B8
PENC_230,𬬹,U+2CB39,左右,钅,10,左右,AGREE,167,10,10,PARSED_WITH_STRUCTURE,local_cache,https://www.zdic.net/hans/%F0%AC%AC%B9
PENC_231,𬬻,U+2CB3B,左右,钅,10,,GAP_OR_DISAGREE,167,10,10,PARSED_WITHOUT_NORMALIZED_STRUCTURE,local_cache,https://www.zdic.net/hans/%F0%AC%AC%BB
PENC_232,𬬿,U+2CB3F,左右,钅,10,,GAP_OR_DISAGREE,167,10,10,PARSED_WITHOUT_NORMALIZED_STRUCTURE,local_cache,https://www.zdic.net/hans/%F0%AC%AC%BF
PENC_233,𬭁,U+2CB41,左右,钅,10,左右,AGREE,167,10,10,PARSED_WITH_STRUCTURE,local_cache,https://www.zdic.net/hans/%F0%AC%AD%81
PENC_234,𬭊,U+2CB4A,左右,钅,12,,GAP_OR_DISAGREE,167,12,12,PARSED_WITHOUT_NORMALIZED_STRUCTURE,local_cache,https://www.zdic.net/hans/%F0%AC%AD%8A
PENC_235,𬭎,U+2CB4E,左右,钅,12,左右,AGREE,167,12,12,PARSED_WITH_STRUCTURE,local_cache,https://www.zdic.net/hans/%F0%AC%AD%8E
PENC_236,𬭚,U+2CB5A,左右,钅,13,左右,AGREE,167,13,13,PARSED_WITH_STRUCTURE,local_cache,https://www.zdic.net/hans/%F0%AC%AD%9A
PENC_237,𬭛,U+2CB5B,左右,钅,13,,GAP_OR_DISAGREE,167,13,13,PARSED_WITHOUT_NORMALIZED_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%AD%9B
PENC_238,𬭤,U+2CB64,左右,钅,14,左右,AGREE,167,14,14,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%AD%A4
PENC_239,𬭩,U+2CB69,左右,钅,15,左右,AGREE,167,15,15,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%AD%A9
PENC_240,𬭬,U+2CB6C,左右,钅,16,左右,AGREE,167,16,16,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%AD%AC
PENC_241,𬭯,U+2CB6F,左右,钅,16,左右,AGREE,167,16,16,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%AD%AF
PENC_242,𬭳,U+2CB73,左右,钅,17,,GAP_OR_DISAGREE,167,17,17,PARSED_WITHOUT_NORMALIZED_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%AD%B3
PENC_243,𬭶,U+2CB76,左右,钅,17,,GAP_OR_DISAGREE,167,17,17,PARSED_WITHOUT_NORMALIZED_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%AD%B6
PENC_244,𬭸,U+2CB78,左右,钅,17,左右,AGREE,167,17,17,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%AD%B8
PENC_245,𬭼,U+2CB7C,左右,钅,18,左右,AGREE,167,17,17,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%AD%BC
PENC_246,𬮱,U+2CBB1,上三包,门,12,,GAP_OR_DISAGREE,169,12,12,PARSED_WITHOUT_NORMALIZED_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%AE%B1
PENC_247,𬮿,U+2CBBF,左右,阝,8,左右,AGREE,170,8,9,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%AE%BF
PENC_248,𬯀,U+2CBC0,左右,阝,8,左右,AGREE,170,8,9,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%AF%80
PENC_249,𬯎,U+2CBCE,左右,阝,11,,GAP_OR_DISAGREE,170,11,12,PARSED_WITHOUT_NORMALIZED_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%AF%8E
PENC_250,𬱖,U+2CC56,左右,页,11,,GAP_OR_DISAGREE,181,11,11,PARSED_WITHOUT_NORMALIZED_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%B1%96
PENC_251,𬱟,U+2CC5F,左右,页,12,左右,AGREE,181,12,12,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%B1%9F
PENC_252,𬳵,U+2CCF5,左右,马,8,左右,AGREE,187,8,8,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%B3%B5
PENC_253,𬳶,U+2CCF6,左右,马,8,,GAP_OR_DISAGREE,187,8,8,PARSED_WITHOUT_NORMALIZED_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%B3%B6
PENC_254,𬳽,U+2CCFD,左右,马,9,左右,AGREE,187,9,9,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%B3%BD
PENC_255,𬳿,U+2CCFF,左右,马,10,左右,AGREE,187,10,10,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%B3%BF
PENC_256,𬴂,U+2CD02,左右,马,11,,GAP_OR_DISAGREE,187,11,11,PARSED_WITHOUT_NORMALIZED_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%B4%82
PENC_257,𬴃,U+2CD03,左右,马,12,,GAP_OR_DISAGREE,187,12,12,PARSED_WITHOUT_NORMALIZED_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%B4%83
PENC_258,𬴊,U+2CD0A,左右,马,15,左右,AGREE,187,15,15,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%B4%8A
PENC_259,𬶋,U+2CD8B,左右,鱼,13,左右,AGREE,195,13,13,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%B6%8B
PENC_260,𬶍,U+2CD8D,左右,鱼,13,,GAP_OR_DISAGREE,195,13,13,PARSED_WITHOUT_NORMALIZED_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%B6%8D
PENC_261,𬶏,U+2CD8F,左右,鱼,14,左右,AGREE,195,14,14,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%B6%8F
PENC_262,𬶐,U+2CD90,左右,鱼,14,左右,AGREE,195,14,14,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%B6%90
PENC_263,𬶟,U+2CD9F,左右,鱼,17,左右,AGREE,195,17,17,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%B6%9F
PENC_264,𬶠,U+2CDA0,左右,鱼,17,,GAP_OR_DISAGREE,195,17,17,PARSED_WITHOUT_NORMALIZED_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%B6%A0
PENC_265,𬶨,U+2CDA8,上下,鱼,17,上下,AGREE,195,17,17,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%B6%A8
PENC_266,𬶭,U+2CDAD,左右,鱼,19,左右,AGREE,195,19,19,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%B6%AD
PENC_267,𬶮,U+2CDAE,左右,鱼,20,左右,AGREE,195,20,20,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%B6%AE
PENC_268,𬷕,U+2CDD5,左右,鸟,12,左右,AGREE,196,12,12,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%B7%95
PENC_269,𬸘,U+2CE18,左右,鸟,14,左右,AGREE,196,14,14,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%B8%98
PENC_270,𬸚,U+2CE1A,上下,鸟,14,上下,AGREE,196,14,14,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%B8%9A
PENC_271,𬸣,U+2CE23,上下,鸟,15,上下,AGREE,196,15,15,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%B8%A3
PENC_272,𬸦,U+2CE26,上下,,,,GAP_OR_DISAGREE,196,16,16,NETWORK_OR_PARSE_GAP,online_fetch_failed,https://www.zdic.net/hans/%F0%AC%B8%A6
PENC_273,𬸪,U+2CE2A,左右,鸟,17,左右,AGREE,196,17,17,PARSED_WITH_STRUCTURE,local_cache,https://www.zdic.net/hans/%F0%AC%B8%AA
PENC_274,𬹼,U+2CE7C,左右,齿,12,左右,AGREE,211,12,12,PARSED_WITH_STRUCTURE,local_cache,https://www.zdic.net/hans/%F0%AC%B9%BC
PENC_275,𬺈,U+2CE88,左右,齿,16,左右,AGREE,211,16,16,PARSED_WITH_STRUCTURE,local_cache,https://www.zdic.net/hans/%F0%AC%BA%88
PENC_276,𬺓,U+2CE93,左右,齿,21,左右,AGREE,211,21,21,PARSED_WITH_STRUCTURE,local_cache,https://www.zdic.net/hans/%F0%AC%BA%93
