row_id,char,unicode,approved_struct_name,approval_scope,approval_reference,decomposition_status,radical_status,stroke_status,candidate_cnbe_status,source_table_write_authorized
PENC_217,𬣳,U+2C8F3,左右,structure_label_only,project_owner_human_audit_2026-07-25,PENDING_DECOMPOSITION_TREE,PENDING_DUAL_SOURCE,USE_INVENTORY_STATUS_NOT_APPROVED_HERE,NOT_GENERATED,false
PENC_218,𬤇,U+2C907,左右,structure_label_only,project_owner_human_audit_2026-07-25,PENDING_DECOMPOSITION_TREE,PENDING_DUAL_SOURCE,USE_INVENTORY_STATUS_NOT_APPROVED_HERE,NOT_GENERATED,false
PENC_219,𬤊,U+2C90A,左右,structure_label_only,project_owner_human_audit_2026-07-25,PENDING_DECOMPOSITION_TREE,PENDING_DUAL_SOURCE,USE_INVENTORY_STATUS_NOT_APPROVED_HERE,NOT_GENERATED,false
PENC_220,𬤝,U+2C91D,左右,structure_label_only,project_owner_human_audit_2026-07-25,PENDING_DECOMPOSITION_TREE,PENDING_DUAL_SOURCE,USE_INVENTORY_STATUS_NOT_APPROVED_HERE,NOT_GENERATED,false
PENC_221,𬨂,U+2CA02,左右,structure_label_only,project_owner_human_audit_2026-07-25,PENDING_DECOMPOSITION_TREE,PENDING_DUAL_SOURCE,USE_INVENTORY_STATUS_NOT_APPROVED_HERE,NOT_GENERATED,false
PENC_222,𬨎,U+2CA0E,左右,structure_label_only,project_owner_human_audit_2026-07-25,PENDING_DECOMPOSITION_TREE,PENDING_DUAL_SOURCE,USE_INVENTORY_STATUS_NOT_APPROVED_HERE,NOT_GENERATED,false
PENC_223,𬩽,U+2CA7D,左右,structure_label_only,project_owner_human_audit_2026-07-25,PENDING_DECOMPOSITION_TREE,PENDING_DUAL_SOURCE,USE_INVENTORY_STATUS_NOT_APPROVED_HERE,NOT_GENERATED,false
PENC_224,𬪩,U+2CAA9,左右,structure_label_only,project_owner_human_audit_2026-07-25,PENDING_DECOMPOSITION_TREE,PENDING_DUAL_SOURCE,USE_INVENTORY_STATUS_NOT_APPROVED_HERE,NOT_GENERATED,false
PENC_225,𬬩,U+2CB29,左右,structure_label_only,project_owner_human_audit_2026-07-25,PENDING_DECOMPOSITION_TREE,PENDING_DUAL_SOURCE,USE_INVENTORY_STATUS_NOT_APPROVED_HERE,NOT_GENERATED,false
PENC_226,𬬭,U+2CB2D,左右,structure_label_only,project_owner_human_audit_2026-07-25,PENDING_DECOMPOSITION_TREE,PENDING_DUAL_SOURCE,USE_INVENTORY_STATUS_NOT_APPROVED_HERE,NOT_GENERATED,false
